,Country,ISO,Year,Population,Magnitude,Total_Heat_Deaths,Percentage_Heat_Deaths,Total_Cold_Deaths,Percentage_Cold_Deaths,Total_Deaths
109,India,IND,2013,1295829511.0,46.0,557.0,0.006266787847066975,0.0,0.0,8888126.0
110,India,IND,2014,1312277191.0,-9.0,0.0,0.0,24.0,0.00027013605402360897,8884412.0
111,India,IND,2014,1312277191.0,3.1,0.0,0.0,16.0,0.000180090702682406,8884412.0
112,India,IND,2015,1328024498.0,48.0,2248.0,0.025155470430796384,0.0,0.0,8936426.0
113,India,IND,2016,1343944296.0,51.0,300.0,0.003331653069635214,0.0,0.0,9004539.0
114,India,IND,2017,1359657400.0,48.0,264.0,0.0029098126708894958,0.0,0.0,9072749.0
115,India,IND,2018,1374659064.0,4.2,0.0,0.0,44.0,0.000479854351117499,9169449.0
116,India,IND,2019,1389030312.0,42.2,90.0,0.0009714516272138573,0.0,0.0,9264486.0
117,India,IND,2022,1425423212.0,45.0,25.0,0.00026671844560757394,0.0,0.0,9373180.0
118,India,IND,2023,1438069596.0,38.0,11.0,0.00011570405972938083,0.0,0.0,9507013.0
119,India,IND,2023,1438069596.0,45.0,179.0,0.0018828206083235607,0.0,0.0,9507013.0
120,Ireland,IRL,2022,5212836.0,33.3,26.0,0.07398975526465566,0.0,0.0,35140.0
121,Israel,ISR,2000,6289000.0,45.0,0.0,0.0,0.0,0.0,34371.0
122,Italy,ITA,2005,58166682.0,-21.0,0.0,0.0,0.0,0.0,563627.0
123,Italy,ITA,2007,58756247.0,45.0,6.0,0.0010559606337875724,0.0,0.0,568203.0
124,Italy,ITA,2009,59555454.0,-16.0,0.0,0.0,0.0,0.0,586205.0
